episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,agent_elo,adver_elo,agent_goal,adver_goal
570,8,274,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.12346505497892697,0.0069187233069290715,0.5737704634666443,2.271785020828247,0.0002983760568895377,0.4299909869829814,0.1393473744392395,22.066709518432617,717.0027783516425,1282.9972216483566,4,0.30000000000000004
571,8,275,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1397880663474401,0.7595878522843122,0.6715192794799805,2.578601360321045,0.00024773403674771544,1.5772408172488213,0.21227435767650604,22.623172760009766,715.817626698922,1284.182373301077,4,0.30000000000000004
572,8,276,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1666355257232984,0.2675686826308568,0.6519145965576172,3.2509920597076416,0.00019118648318302198,0.7265429496765137,0.12357897311449051,28.16252899169922,714.6479490294644,1285.3520509705345,4,0.30000000000000004
573,8,277,214,74,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.18553087611993155,0.0058454194804653525,0.710534930229187,2.4616878032684326,0.00011820812748434643,0.32289477934439975,0.22999463975429535,10.164937019348145,713.4933526210309,1286.506647378968,3,0.25
574,8,278,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.182626744111379,0.0062934487747649355,0.7303837537765503,2.7346549034118652,0.00012847524218765707,0.47254224121570587,0.3661476671695709,100.21719360351562,712.3534593579099,1287.646540642089,3,0.25
575,8,279,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16786513725916544,0.005452868334638576,0.593683123588562,1.9915385246276855,0.00013039192102345018,0.385574405392011,0.10231272876262665,15.139494895935059,711.2279050213602,1288.7720949786385,3,0.25
576,8,280,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.15034151325623193,0.003707476813967029,0.4963717460632324,1.5843929052352905,0.0001778300902515184,0.28366023302078247,0.1317232847213745,50.298160552978516,710.1163386223302,1289.8836613776684,3,0.25
577,8,281,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14251061032215753,0.005462381523102522,0.5206349492073059,4.02191162109375,0.00017127749621674107,0.21599826713403067,0.11470720916986465,54.67323303222656,709.0184217734828,1290.9815782265157,3,0.25
578,8,282,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.13816723972558975,0.0023712049781655273,0.5643210411071777,0.7082915306091309,0.00019193834790106243,0.2897380416591962,0.3483201563358307,24.7205753326416,707.9338280977973,1292.0661719022012,3,0.25
579,8,283,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14782230804363886,0.003135919260481993,0.5768046975135803,1.6721683740615845,0.00017039518934325315,0.22563066830237707,1.0856056213378906,48.08930206298828,706.8622426712351,1293.1377573287634,3,0.25
